content,score,sentiment
"di hp mid-range pun masih jalan, login nggak ribet, cukup reliable untuk kerja ringan. Di halaman checkout, jadwal posting tidak lompat tanggal.",5,positive
"dari sisi penonton biasa, notifikasi order masuk cepat, ongkir promo kebaca sebelum bayar, ini update yang kerasa manfaatnya. Di halaman alamat, alamat pembeli kebaca sampai RT. nggak ngide",4,positive
"sebagai pengguna yang jarang komplain, di Sekupang, buat cari tutorial edit video, sinkronisasi kontaknya cepat. sepatu sekolah lebih gampang dikelola, kerjanya lebih smooth dari ekspektasi... di Solo Cocok juga buat handle daily planner bulnaan. Setelah dicoba 1.1 GB cache, cukup ramah buat hp pas-pasan.",4,positive
"sebagai pengguna yang jarang komplain, sebagai seller pemula aku ngerasain, voucher akhirnya kebaca, feelnya worth it. untuk kebutuhan kecil cukup... Cocok juga buat handle preloved kabel type-c. Setelah dicoba 4 kali, bukan cuma cantik di tampilan.",5,positive
"sebagai seller aksesoris rumahan, di Cimahi, masalahnya lebih parah dibanding bulan lalu, saldo promosi nggak keupdate, ini bug kecil tapi efeknya besar!.. via Biznet Masalahnya kerasa pas handle quick order kabel type-c.",1,negative
"feedback kecil: di akun kedua aku coba juga. Awalnya aku ragu buat cari review gadget, tapi hasil search hashtag lebih tepat. fiturnya sederhana tapi kepakai! Cocok juga buat handle budget flashdisk metal. Di kolom komentar, insight penonton dibagi per jam.",5,positive
"sebagai reseller skincare lokal, update kali ini malah mundur, pesanan gagal kebaca, kelhiatan belum dites serius. #tiktokshop (iPhone SE, Android 12) Masalahnya kerasa pas handle favorit customer helm anak. Setelah dicoba jam 6 pagi, errornya tidak menjelaskan apa-apa.",1,negative
"review santai: tiap habis upload video. Aku cuma mau lihat resep masakan, tapi keranjang belanja sering kosong sendiri. support-nya kurang menolong... #promo Masalahnya kerasa pas handle hitam doff hijab voal. #supporttemplate",1,negative
"sebagai admin live shopping, di Condongcatur, kalau buat scroll santai, saldo promosi nggak keupdate, aku jadi ragu pakai lagi please fix basic flow dulu. via Tri Masalahnya kerasa pas handle limited tablet bekas. Setelah dicoba 120 klik, susah percaya kalau order lagi ramai.",1,negative
"sebagai kreator resep singkat, buat mencatat ide konten, live sering patah-patah. produk stiker label jadi susah diproses, belum layak disebut stabiil. (OPPO A54, Android 14) via XL",2,negative
"di Condongcatur, nice, app panas duluan sebelum video ke-upload, keranjang belanja sering kosong sendiri. ini bikin workflow jadi kacau! Masalahnya kerasa pas handle eceran hoodie fleece. Device: tablet Android murah, jaringan Biznet.",1,negative
"di Cimone, adik gue sering buka app ini, feed isinya nggak relevan, preview caption kosong, tolong dibenerin dulu sebelum nambah fitur? asli Masalahnya kerasa pas handle eceran hijab voal. Setelah dicoba 2 kali, flow-nya putus di bagian paling penting. not bad",1,negative
"pas sinyal agak jelek aku tetap coba, live sering patah-patah, capek sendiri ngulang dari awal mungkin user lain juga kena!! Masalahnya kerasa pas handle anti ribet ssd eksternal. Di live control room, komentar penting tenggelam.",1,negative
"sebagai ibu rumah tangga yang sering checkout, di Pedurungan, Laporan user: aku install lagi kemarin. Awalnya aku ragu bwt cari rekomendasi skincare, tapi fitur simpan favorit praktis. pengalaman pakainya lebih santai. #livestream (Redmi Note 11, iOS 16) #promolancar",5,positive
"sebagai kurir yang cek order, aku bandingin sama minggu lalu, sebenarnya idenya bagus, tapi eksekusinya masih kasar. fitur duet delay parah, support-nya kurang menolong? Masalahnya kerasa pas handle restock rice cooker mini. Device: Samsung S20 FE, jaringan XL.",3,negative
"buat konten random sore-sore, kontennya banyak, tapi rekomendasinya makin jauh... fitur duet delay parah, cukup ganggu buat pemakaian harian!! Di seller center, preview ongkir beda saat bayar. not bad",1,negative
"sebagai seller hijab rumahan, Versi kali ini terasa lebih ringan, caption otomatis lumayan rapi, overall cukup worth it. Di seller center, preview ongkir muncul lebih awal. fix uninstall dulu",5,positive
"sebagai pembuat konten kampus, di Kediri, temen kantor nyaranin ini, notifikasi order masuk cepat, cukup reliable untuk kerja ringan semoga tim dev baca? Setelah dicboa 350 view, nggak perlu buka browser tambhaan. #sellerkecil",4,positive
"kalau dipakai pas jam ramai, draft video aman tersimpan, pengalaman pakainya lebih santai buat versi sekarang sudah oke. #reviewjujur Device: realme Narzo 50, jaringan Biznet. agak zonk",5,positive
"feedback kecil: setelah cache dibersihin. Awalnya aku ragu bwt jualan skincare, tapi export video nggak pecah. kerjanya lebih smooth dari ekspektasi! Cocok juga buat handle mini poster kamar. Di for you page, catatan pesanan ikut terbawa. Setelah dicoba 7 hari, cukup ramah buat hp pas-pasan. masuk akal",3,positive
"sebagai seller mainan anak, update kali ini malah mundur, upload berhenti di tengah, aku jadi ragu pakai lagi. imo (Infinix Hot 30, iOS 15) via XL Di inbox pembeli, catatan pesanan hilang. Device: Tecno Spark, jaringan hotspot teman.",3,negative
"sebagai pemilik thrift shop, catatan kecil: habis login ulang. Awalnya aku ragu buat jualan mainan anak, tapi notifikasi order masuk cepat. nggak sempurna tapi arahnya bagus! #bugreport Di halaman laporan, varian warna tidak tertukar.",3,positive
"sebagai kurir yang cek order, dari minggu lalu progresnya kelihatan, duet dan stitch jalan mulus, overall cukup worth it... Di halaman checkout, arsip chat gampang dicari.",4,positive
"sebagai pengguna hp mid-range, di Cilandak, habis login ulang, halaman pesanannya lebih rapi, saldo campaign muncul sesuai nominal, jadi lebih sering kepakai!! Setelah dicoba 3 kali, bukan cuma cantik di tampilan. Device: Redmi Note 10, jaringan XL.",5,positive
"di hp mid-range langsung ngos-ngosan, refund statusnya nggak jelas, lama-lama bikin malas buka aplikasinya? Masalahnya kerasa pas handle budget masker kain.",1,negative
"sebagai pencari review gadget, buat bikin konten musik, rekomendasi feed lebih nyambung. totebag lebih gampang dikelola, aku lumayan puas!! (Infinix Hot 30, Android 12) Cocok juga buat handle ready-stock cover keyboard. Di tab produk, live replay tidak patah. Setelah dicoba 27 persen baterai, nggak bikin deg-degan pas dipakai. Device: Tecno Spark, jaringan Tri. ngadi-ngadi",5,positive
"versi lama justru lebih nyaman, tab inbox lama kebuka, tolong dibenerin dulu sebelum nambah fitur... #bugreport jir Di for you page, iklan toko susah dipause.",2,negative
"buat lihat live seller lokal, ada typo di caption auto, tapi gampang diedit manual, live chat customer responsif. nggak sempurna tapi arahnya bagus. #bugreport Cocok juga buat handle bundling cat air. Di pencarian hashtag, stok sisa langsung sinkron. Setelah dicoba 2 kali, akhirnya terasa seperti fitur yang selesai. Device: iPhone 12, jaringan Indosat.",4,positive
"buat balas komentar pembeli, aplikasi sering force close. produk case hp jadi susah diproses, lebih banyak ganggu daripada bantu. Masalahnya kerasa pas handle transparan kipas portable.",2,negative
"di hp mid-range langsung ngos-ngosan, voucher tiba-tiba hilang, nggak bisa diandalkan pas butuh cepat. dong Masalahnya kerasa pas handle student kabel type-c.",1,negative
"di Madiun, versi kali ini terasa lebih ringan, fitur live seller membantu, ini salah satu update yang benar... (realme C55, Android 13)",4,positive
"sebagai content creator baru, gue coba selama seminggu, draft video aman tersimpan, jadi lebih sering kepakai please jangan dirusak update berikutnya!! (OPPO Reno 6, iOS 15) #kontenharian",5,positive
"di jarignan wifi rumah, saldo promosi nggak keupdate, ongkir promo beda saat bayar, ini bug kecil tapi efeknya besar...",4,negative
"di Karawaci, waktu live malam kemarin, notifikasi kadang dobel, tapi order tetap masuk, fitur simpan favorit praktis. nggak bikin mikir lama!! Di halaman draft, jadwal posting tidak lompat tanggal. Setelah dicoba 30 menit, cukup ramah buat hp pas-pasan. Device: realme C55, jaringan Indosat. ribet amat",4,positive
"di mode hemat baterai, kualitas video tetap tajam, saldo campaign muncul sesuai nominal, aku lumayan puas? via wifi rumah Cocok juga buat handle ukuran kecil parfum roll-on. Device: Poco M4 Pro, jaringan wifi rumah. fix uninstall dulu",4,positive
"sebagai seller hijab rumahan, temen kantor nyaranin ini, login nggak ribet, cukup aman buat dipaaki rutin aku kasih nilai segini dulu! #bugreport. Di tab produk, audio tidak geser setelah export. #livejualan",5,positive
"pengalaman singkat: buat jalan kecil-kecilan aku pakai. Aku cuma mau buat konten affiliate, tapi komentar gagal terkirim. cukup ganggu buat pemakaian harian! via Smartfren Masalahnya kerasa pas handle daily ring light. Device: iPhone 11, jaringan wifi rumah.",1,negative
"sebagai seller hijab rumahan, aku bandingin sama minggu lalu, harga promo kadang berubah, tapi checkout tetap aman, caption otomatis lumayan rapi. kerjanya lebih smooth dari ekspektasi!! ngl Setelah dicoba 12 menit, cukup aman buat dipakai pas campaign kecil.",3,positive
"di Cibitung, pas sinyal agak jelek aku tetap coba, upload video lebih stabil, saldo campaign muncul sesuai nominal, workflow konten jadi lebih cepat! via wifi kos Setelah dicoba 120 klik, flow-nya nyambung dari awal sampai akhir.",5,positive
"buat cari review barang, pesanan gagal kebaca, transisi video patah-patah, ini bug kecil tapi efeknya besar? Masalahnya kerasa pas handle eceran kertas foto. Di halaman laporan, preview ongkir beda saat bayar.",1,negative
"waktu nyari resep singkat, checkout gampang kalau berhasil, masalahnya sering nggak berhasil. halaman Seller Center berat, capek sendiri ngulang dari awal. via Telkomsel Di riwayat transaksi, preview ongkir beda saat bayar. Device: Samsung M14, jaringan Indosat. #crashlagi",1,negative
"temen kantor nyaranin ini, tombol promossinya gampang ditemukan, workflow koonten jadi lebih cepat aku bakal pantau update berikutnya?.",4,positive
"sebagai admin toko kecil, di Medan Johor, review santai: di akun kedua aku coba juga. Awalnya aku ragu buat promosi makanan rumahan, tapi analytics kreator cukup jelas. nggak bikin mikir lama... Di inbox pembeli, audio tidak geser setelah export. #orderaman nyangkut mulu",4,positive
"sebagai content creator baru, feedback kecil: setelah cache dibersihin. Aku cuma mau lihat traffic toko, tapi fitur duet delay parah. tolong dibenerin dulu sebelum nambah fitur. Masalahnya kerasa pas handle student sabun muka. Di tab Shop, audio mundur setelah export.",2,negative
"sebagai admin toko parfum, feedback kecil: pas lagi bikin konten tugas. Awalnya aku ragu buat jualan hijab, tapi draft video aman tersimpan. cukup aman buat dipakai rutin. Cocok juga buat handle restock hair tonic. Di komentar live, link produk tetap nempel di video. Setelah dicoba 5 menit, cukup aman buat dipakai pas campaign kecil.",5,positive
"sebagai mahasiswa yang jualan sampingan, di Medan Johor, kesan pertama: di akun kedua aku coba juga. Aku cuma mau jualan hijab, tapi tab inbox lama kebuka. terlalu riskan buat order penting. Di pencarian hashtag, iklan toko susah dipause. Device: Samsung A24, jaringan Indihome. #feedacak",1,negative
"sebagai pengelola katalog kecil, di Pasar Minggu, di hp lama masih aku tes, template editornya gampang dipakai, feelnya user friendly. ini lumayan kerasa. #checkout Device: iPhone SE, jaringan wifi rumah. #fypnyambung auto panik",4,positive
"pas lagi nunggu bus aku buka, keranjang belanja sering kosong sendiri, cukup ganggu buat pemakaian harian jangan cuma tambah fitur baru. #update Di pencarian hashtag, kupon toko gagal terpasang. Setelah dicoba 18 persen baterai, kesannya testing di device bagus doang. agak zonk",1,negative
"setelah cache dibersihin, kadang loading sebentar, tapi hasil akhirnya oke, fitur simpan favorit praktis. ini update yang kerasa manfaatnya... #reviewjujur Cocok juga buat handle murah botol minum. lumayan lah",4,positive
"sebagai admin live shopping, lebih enak daripada app toko sebelah, fitur simpan favorit praktis, workflow konten jadi lebih cepat. Cocok juga buat handle restock charger gan.",4,positive
"sebagai pembuat konten kampus, di Buahbatu, Gw pakai hampir tiap hari, fiturnya belum sempurna, tapi arahnya jelas, kualitas video tetap tajam. workflow konten jadi lebih cepat... Di menu affiliate, thumbnail tersimpan tanpa pecah.",5,positive
"sebagai seller mainan anak, aku install lagi kemarin, fitur balas komentar pakai video enak, angka view pelan-pelan naik, pengalaman belanja jadi lebih enak. Cocok juga buat handle limited botol minum. #reviewbaik",3,positive
"dibanding versi sebelumnya ini lebih stabil, live chat customer responsif, pengalaman belanja jadi lebih enak!! #seller lah Cocok juga buat handle preloved kabel type-c. Di menu affiliate, jadwal posting tidak lompat tanggal.",5,positive
"sebagai content creator baru, pas checkout barang murah, caption otomatis lumayan rapi, buat seller kecil ini ngebantu buat sekarang aku lanjut pakai! Cocok juga buat handle murah hijab voal. Di inbox pembeli, arsip chat gampang dicari.",4,positive
"dibanding versi sebelumnya ini lebih stabil, notifikasi order masuk cepat, overall cukup worth it! #creator Setelah dicoba 27 persen baterai, nggak perlu buka browser tambahan.",5,positive
"di Tembung, pas mobile data dipakai, keranjang belanja responsif, alamat pembeli terbaca lengkap, pengalaman belanja jadi lebih enak... #creator jir Di tab Shop, laporan retur bisa diunduh. Setelah dicoba 2 draft, nggak perlu buka browser tambahan. Device: Poco F4, jaringan wifi rumah. #fypnyambung",5,positive
"aku bandingin sama minggu lalu, sekali dua kali error, namun seteelah restart normal lagi, sinkronisasi kontaknya cepat. nggak bikin mikir lama. wkwk",4,positive
"observasi pribadi: sebagai seller pemula aku ngerasain. Awalnya aku ragu buat lihat traffic toko, tapi musik yang disaranin cocok. pengalaman belanja jadi lebih enak? Cocok juga buat handle diskon headset kabel.",4,positive
"dibanding versi sebelumnya ini lebih stabil, duet dan stitch jalan mulus, nggak sempurna tapi arahnya bagus! #update Di halaman voucher, audio tidak geser setelah export. Setelah dicoba 15 order, flow-nya nyambung dari awal sampai akhir.",5,positive
"Tiap habis upload video, harga promo kadang berubah, tapi checkout tetap aman, pencarian barang makin relevan... buat seller kecil ini ngebantu. imo versi v29.4.1 Cocok juga buat handle custom lip tint. Di live control room, preview ongkir muncul lebih awal. Setelah dicooba 2 jam, nggak bikin deg-degan pas dipakai. Device: Redmi Note 10, jaringan Indihome.",4,positive
"sebagai reseller case hp, temen kantor nyaranin ini, caption otomatis ngawur, kelihatan belum dites serius aku tunggu update perbaikan!! kok (Redmi 12C, iOS 17) Masalahnya kerasa pas handle paket trial lampu belajar. #buglama aman jaya",1,negative
"buat lihat resep masakan, live chat customer responsif. powerbank lebih gampang dikelola, jadi lebih sering kepakai!! via wifi rumah Cocok juga buat handle transparan ring light. Device: vivo Y36, jaringan Biznet.",4,positive
"buat jualan kecil-kecilan aku pakai, checkout gampang kalau berhasil, masalahnya sering nggak berhasil. aplikasi sering force close, kelihatan belum dites serius! Setelah dicoba 20 menit, errornya tidak menjelaskan apa-apa.",1,negative
"buat lihat live seller lokal, checkout terasa lebih singkat, jadi lebih sering kepakai semoga tim dev baca! Cocok juga buat handle grosir ring light. Di editor video, angka klik produk muncul jelas. Setelah dicoba 15 order, cukup aman buat dipakai pas campaign kecil.",5,positive
"waktu live malam kemarin, komentar gagal terkirim, rasanya seperti dipaksa jadi beta tester di hpku kejadiaan terus? Di halaman laporan, komentar penting tenggelam. Setelah dicoba 1.1 GB cache, ini bukan masalah kosmetik doang. nggak ngide",2,negative
"sebagai pemilik akun toko keluarga, temen kantor nyaranin ini, tombol promosinya gampang ditemukan, aku bisa rekomendasiin ke temen buat versi sekarang udah oke. Setelah dicoba 28 order, flow-nya nyambung dari awal sampai akhir. masuk akal",5,positive
"kalau dipakai pas jam ramai, pencarian barang makin relevan, nggak sempurna tapi arahnya bagus nggak semua orang mungkin ngalamin. Cocok juga buat handle ready-stock flashdisk metal.",5,positive
"di Condongcatur, setelah cache dibersihin, tracking paket kelihatan jelas, pesanan repeat gampang dicari, cukup reliable untuk kerja ringan! aman jaya",5,positive
"sebagai admin toko parfum, kesan pertama: temen kantor nyaranin ini. Aku cuma mau cari review gadget, tapi notifikasi telat masuk. terlalu riskan buat order penting. (iPad lama, Android 14) Di inbox pembeli, varian warna balik sendiri. ribet amat",2,negative
"sebagai pembeli flash sale, buat promosi thrift shop, login nggak ribet... totebag lebih gampang dikelola, pengalaman pakaainya lebih santai! #bugreport versi v29.6.1 #orderaman",5,positive
"di hp mid-range pun masih jalan, halaman pesanannya lebih rapi, ini salah satu update yang benar!! (vivo V25, iOS 17) Cocok juga buat handle limited parfum roll-on. Di halaman voucher, laporan retur bisa diunduh. Device: Samsung S21 FE, jaringan Telkomsel.",5,positive
"sebagai orang yang sering pakai voucher, di Padang Barat, dari sisi penonton biasa, draft video kadang lenyap, feelnya annoying. mungkin user lain juga kena. (vivo Y21, Android 12) di Tangerang Masalahnya kerasa pas handle paket trial humidifier kecil. Di pusat bantuan, thumbnail berubah jadi abu-abu. #uploadgagal",4,negative
"review santai: aku bandingin sama minggu lalu. Awalnya aku ragu buat buat konten affiliate, tapi mode dark-nya nyaman. buat seller kecil ini ngebantu. serius Cocok juga buat handle stok akhir sling bag. Di tab Shop, live replay tidak patah. Setelah dicoba 28 order, rasanya lebih dekat ke kebutuhan seller kecil.",4,positive
"sebagai mahasiswa rantau, di Ubud, setelah reinstall aplikasi, export video nggak pecah, feelnya smooth. ini feedback jujur dari user biasa? di Balikpapan Di halaman checkout, insight penonton dibagi per jam. nggak ngide",4,positive
"update kali ini malah mundur, keranjang belanja sering kosong sendiri, lama-lama bikin malas buka aplikasinya. Di riwayat transaksi, link produk lepas dari video. Setelah dicoba jam 11 malam, seller kecil jadi ikut nanggung risiko. #sellerpanik",1,negative
"sebagai pengelola katalog kecil, gw pakai hampir tiap hari, video jadi buram setelah diupload, catatan pembeli tidak kebawa, aku uninstall dulu sementara. Masalahnya kerasa pas handle budget helm anak. Device: Poco X5, jaringan XL. agak zonk",2,negative
"di Ciputat, tiap habis upload video, notifikasi kadang dobel, tapi order tetap masuk, caption otomatis lumayan rapi! cukup reliable untuk kerja ringan... versi v33.5.2 Cocok juga buat handle flash-sale bantal leher. Device: Redmi Note 8, jaringan Biznet.",5,positive
"catatan kecil: waktu live malam kemarin. Awalnya aku ragu buat cek harga barang, tapi halaman pesanannya lebih rapi. hasilnya konsisten di hpku... Cocok juga buat handle quick order tablet bekas. Device: Poco F4, jaringan 4G. #reviewbaik",5,positive
"update kali ini malah mundur,saldo promosi nggak keupdate, buat jualan malah bikin panik!! cc CS",3,negative
"buat jualan skincare, dashboard seller lebih kebaca. buku catatan lebih gampang dikelola, hasilnya konsisten di hpku! di Denpasar Setelah dicoba 15 order, cukup aman buat dipakai pas campaign kecil. auto panik",5,positive
"di Banjarbaru, feedback kecil: buat cari review barang. Awalnya aku ragu buat jualan hijab, tapi kualitas video tetap tajam. jadi lebih sering kepakai!! asli cc kurir Cocok juga buat handle COD tablet bekas. Di filter spam, komentar prioritas naik sendiri.",4,positive
"di Singaraja, gue coba selama seminggu, rekomendasi kreator lokal makin bagus, ranking produk lebih transparan, overall cukup worth it. Di halaman laporan, komentar prioritas naik sendiri.",5,positive
"sebagaipemilik thrift shop, sebagai seller pemula aku ngerasain, support balasnya template semua, nggak bisa diandalkan pas butuh cepat tolong jangan diabaikan... Device: Advan lokal, jaringan Telkomsel.",1,negative
"sebagai penonton live random, kesan pertama: waktu live malam kemarin. Awalnya aku ragu buat buat konten affiliate, tapi tombol promosinya gampang ditemukan. workflow konten jadi lebih cepat? di Surabaya Cocok juga buat handle diskon humidifier kecil. #draftselamat",4,positive
"Hasilnya lebih rapi dibanding bulan lalu, analytics kreator cukup jelas, fiturnya sederhana tapi kepakai. Di for you page, catatan pesanan ikut terbawa. Setelah dicoba 120 klik, nggak bikin deg-degan pas dipakai.",5,positive
"sebagai affiliate pemula, hasilnya lebih rapi dibanding bulan lalu, checkout terasa lebih singkat, nggak bikin mikir lama!! kok Cocok juga buat handle paket hemat dompet kartu. Setelah dicoba tanggal kembar, bukan cuma cantik di tampilan.",5,positive
"sebagai penjual makanan pre-order, di Purwokerto, setelah update terakhir aku cek lagi, tampilannya oke, sayangnya bug-nya sering muncul. video jadi buram setelah diupload, aku jadi ragu pake lagi. (iPhone 11, Android 11) versi v31.2.5",2,negative
"Buat balas komentar pembeli, pencarian barang makin relevan. skincare travel size lebih gampang dikelola, aku bisa rekomendasiin ke temen. cc kurir Device: iPhone 12, jaringan Indihome.",5,positive
"pengalaman singkat: waktu nyari resep singkat. Awalnya aku ragu buat cek order harian, tapi draft video aman tersimpan. cukup reliable utk kerja ringan! ngl Cocok juga buat handle paket trial case hp.",5,positive
"review santai: setelah reinstall app. Awalnya aku ragu buat jualan hijab, tapi fitur simpan favorit praktis. overall cukup worth it. #FYP Cocok juga buat handle ukuran kecil parfum roll-on. Di halaman draft, iklan toko lebih mudah dipause. Device: realme C55, jaringan wifi rumah.",3,positive
"di Ubud, review santai: pas mobile data dipakai. Awalnya aku ragu buat lihat live diskon, tapi caption otomatis lumayan rapi. ini salah satu update yang benar!! #checkout (Redmi Note 10, Android 14) cc creator Setelah dicoba 1.2k view, rasanya lebih dekat ke kebutuhan seller kecil. enak juga",4,positive
"setelah reinstall aplikasi,caption otomatis ngawur, tolong dibenerin dulu sebelum nambah fitur aku harap versi berikutnya lebih stabil!! Setelah dicoba jam 6 pagi, bug-nya muncul pas lagi ada pembeli.",2,negative
"sebagai orang yang sering pakai voucher, aku bandingin sama minggu lalu, sekali dua kali error, namun setelah restart normal lagi, keranjang belanja responsif!! rasanya lebih matang dari versi sebelumnya... Di fitur duet, live replay tidak patah.",3,positive
"tes ringan: tiap habis upload video. Aku cuma mau jualan mainan anak, tapi komentar gagal terkirim. pengalaman pakainya turun jauh... di Surabaya Di pencarian hashtag, insight penonton telat sehari. Device: iPhone 11, jaringan Tri. ribet amat",1,negative
"di Jember, buat jualan skincare, cache numpuk cepat banget. produk lampu meja jadi susah diproses, pengalaman pakainya turun jauh... Masalahnya kerasa pas handle handmade kipas portalbe.",1,negative
"sebagai reseller skincare lokal, waktu live malam kemarin, pesanan gagal kebaca, buat jualan malah bikin panik ini bukan sekadar komplain kecil? #seller via XL Di fitur search, catatan pesanan hilang. Setelah dicoba 1 jam, terlalu banyak tap buat hal sederhana. Device: Redmi 12C, jaringan wifi kos.",1,negative
"sebagai ibu rumah tangga yang sering checkout, di Kediri, waktu live malam kemarin, export video nggak pecah, riwayat chat tidak lompat-lompat, pengalaman pakainya lebih santai. Setelah dicoba 2 draft, nggak perlu buka browser tambahan.",5,positive
"sebagai reseller skincare lokal, buat promosi thrift shop, musik yang disaranin cocok. powerbank lebih gampang dikelola, jadi lebih sering kepakai... di Denpasar cc seller Di tab Shop, arsip chat gampang dicari.",4,positive
"versi kali ini terasa lebih ringan, template editornya gampang dipakai, hasilnya konsisten di hpku? Di filter spam, arsip chat gampang dicari. Setelah dicoba 3 voucher, nggak bikin deg-degan pas dipakai. Device: iPhone XR, jaringan XL. #livejualan",4,positive
"kalau buat scroll santai, harga promo kadang berubah, tapi checkout tetap aman, mode dark-nya nyaman. buat seller kecil ini ngebantu. versi v34.7.0 Cocok juga buat handle simple hijab voal. Di kolom komentar, kupon toko otomatis terpasang. Setelah dicoba 30 menit, lebih sedikit klik dariapda sebelumnya. Device: Tecno Spark, jaringan wifi rumah.",5,positive
"sebagai pencari review gadget, di Mariso, aku install lagi kemarin, sebenarnya idenya bagus, tapi eksekusinya masih kasar. notifikasi telat masuk, belum layak disebut stabil? (Asus Zenfone, Android 10) Masalahnya kerasa pas handle bundling sticker pack.",1,negative
"keren, draft hilang pas mau upload, halaman seller center berat. ini bikin workflow jadi kacau? (vivo V25, Android 11) versi v31.1.1 via wifi kos #sellerpanik gaskeun",2,negative
"pas sinyal agak jelek aku tetap coba, harga promo kadang berubah, tapi checkout tetap aman, fitur simpanfavorit praktis. workflow konten jadi lebih cepat? (OPPO A54, Android 11) Cocok juga buat handle daily lampu belajar. Di halaman checkout, kupon toko otomatis terpasang. #fypnyambung",5,positive
"sebagai kreator edukasi kecil, Tiap habis upload video, notifikasi telat masuk, felnya laggy. kalau begini seller kecil susah. #bugreport Masalahnya kerasa pas handle lokal bantal leher. Setelah dicoba 5 menit, bug-nya muncul pas lagi ada pembeli. #draftilang",1,negative
"waktu live malam kemarin, live-nya ramai, tapi kualitas streamingnya bikin pusing. refund statusnya nggak jelas, buat jualan malah bikin panik. Masalahnya kerasa pas handle transparan alat tulis.",1,negative
"sebagai admin toko kecil, di Pondok Gede, waktu nyari resep singkat, akun mendadak kena limit, rasanya seperti dipaksa jadi beta tester capek report berkli-kali... bjir cc admin cape",1,negative
"sebagai content creator baru, di Jagakarsa, setelah cache dibersihin, live sering patah-patah, keranjang balik ke awal, ini bikin workflow jadi kacau... Masalahnya kerasa pas handle favorit customer ssd eksternal. Setelah dicoba 20 menit, fitur pentingnya kalah sama animasi.",2,negative
"di Kuta, buat buat konten affiliate, feed issinya nggak relevan. produk hoodie lokal jadi susah diproses, nggak bisa diandalkan pas butuh cepat. #livestream Masalahnya kerasa pas handle ukuran kecil strap masker. Di fitur duet, varian warna balik sendiri. #supporttemplate",1,negative
"sebagai pengguna hp mid-range, tiap habis upload video, fitur jadwal posting kepakai, feelnya nice improvement. buat versi sekarang sudah oke. #checkout dong versi v29.1.1 Di fitur stitch, komentar prioritas naik sendiri.",4,positive
"temen kantor nyaranin ini, komentar gagal terkirim, feelnya broken flow. aku harap versi berikutnya lebih stabil! (iPhone 13, Android 13) Masalahnya kerasa pas handle paket hemat keyboard membran. Di seller center, alamat pembeli kepotong di kecamatan. Setelah dicoba 120 klik, susah percaya kalau order lagi ramai.",3,negative
